ID,SPECIES,MPCR,MPCRGroup,CARBA5,CARBA5Group,mCIMeCIM,CPO,Name,FirstAll_mCIM,Conventional_mCIM,FirstAll_mCIM_All,FirstAll_MPCR,Conventional_MPCR
32951,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(+),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
32957,KP,KPC,KPC/OXA,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),KPC,Negative
32959,KP,KPC,KPC/OXA,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),KPC,Negative
32962,KP,KPC,KPC/OXA,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(+),(-),KPC,KPC
32964,KP,KPC,KPC/OXA,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(+),(-),KPC,Negative
32967,KP,KPC,KPC/OXA,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(+),(-),KPC,KPC
32969,KP,KPC,KPC/OXA,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(+),(-),KPC,KPC
32971,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
32977,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
32983,KP,KPC,KPC/OXA,Negative,Negative,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
32986,KP,KPC,KPC/OXA,Negative,Negative,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
32989,KP,KPC+OXA,Others,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(+),(-),KPC+OXA,KPC
32991,KP,KPC,KPC/OXA,Negative,Negative,mCIM(-)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(-),(-),(-),KPC,KPC
32997,KP,KPC+OXA,Others,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(+),(-),KPC+OXA,KPC+OXA
33000,KP,KPC+OXA,Others,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(+),(-),KPC+OXA,KPC+OXA+NDM
33002,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC+OXA
33009,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33011,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33014,KP,KPC,KPC/OXA,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(+),(-),KPC,Negative
33020,KP,KPC,KPC/OXA,KPC+IMP,Others,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33022,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33023,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33027,KP,KPC,KPC/OXA,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(+),(-),KPC,Negative
33030,KP,KPC,KPC/OXA,Negative,Negative,mCIM(+)/eCIM(+),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33031,KP,KPC,KPC/OXA,Negative,Negative,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33032,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(+),Class A or D,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33033,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33038,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33046,KP,KPC,KPC/OXA,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(+),(-),KPC,KPC
33052,KP,KPC,KPC/OXA,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(+),(-),KPC,Negative
33055,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33056,KP,KPC+OXA,Others,KPC+OXA,Others,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),KPC+OXA,KPC
33058,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33059,KP,KPC,KPC/OXA,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),KPC,Negative
33064,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33076,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33079,KP,KPC+OXA,Others,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),KPC+OXA,OXA
33091,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33094,KP,KPC+OXA+NDM,Others,NDM,IMP/NDM/VIM,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),KPC+OXA+NDM,KPC
33115,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33120,KP,KPC+OXA,Others,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),KPC+OXA,KPC
33122,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(+),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33128,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(+),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33138,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33140,KP,KPC+OXA,Others,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),KPC+OXA,Negative
33141,KP,KPC,KPC/OXA,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),KPC,Negative
33149,KP,KPC,KPC/OXA,Negative,Negative,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33152,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33158,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33168,KP,KPC+OXA,Others,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),KPC+OXA,Negative
33170,KP,KPC+OXA,Others,Negative,Negative,mCIM(-)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(-),(-),(-),KPC+OXA,KPC+OXA
33185,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33213,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(+),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33219,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33228,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(+),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33246,KP,KPC+OXA+NDM,Others,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),KPC+OXA+NDM,Negative
33253,KP,KPC+OXA+NDM,Others,Negative,Negative,mCIM(-)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(-),(-),(-),KPC+OXA+NDM,KPC+OXA
33254,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33255,KP,KPC+OXA,Others,Negative,Negative,mCIM(-)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(-),(-),(-),KPC+OXA,KPC+OXA
33256,KP,KPC+OXA+NDM,Others,NDM,IMP/NDM/VIM,mCIM(-)/eCIM(-),Class B,Klebsiella pneumoniae,(-),(-),(-),KPC+OXA+NDM,KPC
33269,KP,KPC+OXA,Others,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),KPC+OXA,Negative
